SP PDB_id chain_PDB   chain_auth  UniProt             Conf            
+  1m2q   A           A           P28523              CIDI                
+  4bkz   A           A           Q14680              CIDI                 
+  4qp1   A           A           P28482              CIDI                
+  2dq7   A           X           P06241              CIDI                  
+  4cfm   A           A           P24941              CIDI                
+  1m2p   A           A           P28523              CIDI                
+  4cli   A           A           Q9UM73              CIDI                 
+  5eyk   A           A           Q6DE08              CIDI                
+  3cqw   A           A           P31749              CIDI                
+  2bdf   A           A           P12931              CIDI                  
+  4mne   A           A           Q02750              CIDI                
+  4ehz   A           A           P23458              CIDI                 
+  5j1v   A           A           P49759              CIDI                 
+  4xg8   A           A           P43405              CIDI                 
+  2qkr   A           A           Q5CRJ8              CIDI              
+  2bzj   A           A           P11309              CIDI                
+  5tt7   A           A           P43405              CIDI               
+  2no3   A           A           P45983              CIDI                
+  2p33   A           A           P53779              CIDI                
+  3my1   A           A           P50750              CIDI                
+  1yi6   A           A           P12931              CIDI                  
+  4js8   A           A           P33981              CIDI                  
+  1uki   A           A           P45983              CIDI                
+  3lvp   A           A           P08069              CIDI               
+  4rrv   A           A           O15530              CIDI                
+  1stc   A           E           P00517              CIDI                
+  4bb4   A           A           P54760              CIDI               
+  5lma   A           A           P43405              CIDI                
+  5toz   A           A           P52333              CIDI                 
+  1qpe   A           A           P06239              CIDI                  
+  3cjg   A           A           P35968              CIDI                
+  4ii5   A           A           P24941              CIDI                 
+  2ycr   A           A           O96017              CIDI                
+  4iwd   A           A           P08581              CIDI                  
+  4nh1   A           A           P68400              CIDI                
+  3fxw   A           A           Q16644              CIDI                
+  3oog   A           A           P17612              CIDI                
+  5lwn   A           A           P52333              CIDI                 
+  4ae6   A           A           P17612              CIDI               
+  1zrz   A           A           P41743              CIDI                 
+  1cki   A           A           Q06486              CIDI                   
+  3bgp   A           A           P11309              CIDI                 
+  4dfn   A           A           P43405              CIDI                
+  4kke   A           A           P53779              CIDI                
+  3iok   A           A           O60674              CIDI                 
+  2nru   A           A           Q9NWZ3              CIDI              
+  5lmb   A           A           P43405              CIDI                
+  4jdk   A           A           O96013              CIDI                
+  2uw9   A           A           P31751              CIDI               
+  5t68   A           A           P43405              CIDI                
+  4ftc   A           A           O14757              CIDI                
+  3geq   A           A           P00523              CIDI                  
+  1ol1   A           A           P24941              CIDI                 
+  5ap3   A           A           P33981              CIDI                 
+  5dr9   A           A           O14965              CIDI                
+  2b7a   A           A           O60674              CIDI                 
+  1wbn   A           A           Q16539              CIDO                 
+  5air   A           A           Q9WV60              CIDI                
+  3kf7   A           A           Q16539              CIDI                 
+  3cgf   A           A           P53779              CIDI                 
+  4jbo   A           A           O14965              CIDI               
+  3a4o   A           X           P07948              CIDI                  
+  3lck   A           A           P06239              CIDI                  
+  5tr6   A           A           P43405              CIDI                 
+  4fv7   A           A           P28482              CIDI                 
+  5av1   A           A           P53355              CIDI                
+  1pkg   A           A           P10721              CIDI                
+  4tyh   A           A           P49137              CIDI               
+  3vbt   A           A           P11309              CIDI                 
+  5c8n   A           A           P00533              CIDI               
+  1eh4   A           A           P40233              CIDI                
+  1atp   A           E           P05132              CIDI                
+  2hxl   A           A           O14757              CIDI                 
+  3ri1   A           A           P21802              CIDI                
+  1jkk   A           A           P53355              CIDI                
+  3rwp   A           A           O15530              CIDI                
+  3kcf   A           A           P36897              CIDI               
+  4zp5   A           A           O95819              CIDI               
+  3dls   A           A           Q96RG2              CIDI                 
+  5khx   A           A           P23458              CIDI                
+  5khw   A           A           P23458              CIDI               
+  2xbj   A           A           O96017              CIDI                
+  2zoq   A           A           P27361              CIDI               
+  3nyn   A           A           P43250              CIDI                 
+  4wno   A           A           O75385              CIDI                
+  3zew   A           A           P54760              CIDI                
+  3vjo   A           A           P00533              CIDI                
+  2yn8   A           A           P54760              CIDI                
+  2wtc   A           A           O96017              CIDI                 
+  1j91   A           A           P28523              CIDI                
+  5kz0   A           A           Q9UM73              CIDI                  
+  2f4j   A           A           P00519              CIDI                 
+  2c5v   A           A           P24941              CIDI                
+  1uwh   A           A           P15056              CIDO                 
+  4w9x   A           A           Q9NSY1              CIDI              
+  4g6l   A           A           P49336              CIDI               
+  2x2l   A           A           P07949              CIDI                  
+  2bdj   A           A           P12931              CIDI                
+  4f9y   A           A           Q16539              CIDI                
+  3anr   A           A           Q13627              CIDI                
+  1ouy   A           A           Q16539              CIDI                 
+  2e9v   A           A           O14757              CIDI                 
+  4gmy   A           A           O60674              CIDI                 
+  4l43   A           A           P23443              CIDI               
+  3q32   A           A           O60674              CIDI                
+  5l3a   A           A           O60674              CIDI                 
+  3up2   A           A           O14965              CIDI                
+  2fb8   A           A           P15056              CIDI               
+  2z60   A           A           P00520              CIDI                 
+  2itz   A           A           P00533              CIDI                 
+  2baj   A           A           Q16539              CIDO               
+  2hz0   A           A           P00519              CIDO                
+  2h6d   A           A           P54646              CIDO               
+  2oh4   A           A           P35968              CIDO                
+  2og8   A           A           P06239              CIDO                  
+  2pl0   A           A           P06239              CIDO                  
+  2rl5   A           A           P35968              CIDO                 
+  2p2i   A           A           P35968              CIDO                 
+  2qu5   A           A           P35968              CIDO                 
+  2ofv   A           A           P06239              CIDO                  
+  2p4i   A           A           Q02763              CIDO                
+  2yza   A           A           P54646              CIDO                 
+  3el8   A           A           P00523              CIDO                  
+  3ewh   A           A           P35968              CIDO                
+  3f82   A           A           P08581              CIDO                  
+  3dko   A           A           Q15375              CIDO                 
+  3cth   A           A           P08581              CIDO                   
+  3dzq   A           A           P29320              CIDO                
+  3el7   A           A           P00523              CIDO                   
+  2yiy   A           A           Q15750              CIDO                   
+  3ctj   A           A           P08581              CIDO                   
+  3eta   A           A           P06213              CIDO                  
+  4eyj   A           A           O15264              CIDO                  
+  3zos   A           A           Q08345              CIDO                  
+  4f7n   A           A           P49336              CIDO                  
+  4agw   A           A           P00523              CIDO                   
+  4bkj   A           A           Q08345              CIDO                  
+  4equ   A           A           O94804              CIDO                
+  4h1j   A           A           Q14289              CIDO                 
+  4eev   A           A           P08581              CIDO                  
+  4k9y   A           A           Q05397              CIDO                 
+  4asd   A           A           P35968              CIDO                
+  3ugc   A           A           O60674              CIDO                 
+  4kao   A           A           Q05397              CIDO                 
+  4at4   A           A           Q16620              CIDO                
+  4jvg   A           B           P15056              CIDO                 
+  3bbt   A           B           Q15303              CODI              
+  5bvn   A           A           Q08345              CIDO                  
+  5fdp   A           A           Q08345              CIDO                  
+  3f5p   A           A           P08069              CODI                 
+  2ds1   A           A           P24941              CODI                 
+  3dj6   A           A           P97477              CODI                
+  5fdx   A           A           Q08345              CIDO                  
+  4neu   A           A           Q13546              CIDO                
+  3efk   A           A           P08581              CODI                   
+  1g5s   A           A           P24941              CODI                 
+  1ke5   A           A           P24941              CODI                  
+  5bvk   A           A           Q08345              CIDO                
+  1xkk   A           A           P00533              CODI                  
+  4ksq   A           A           P15056              CIDO                  
+  1fmk   A           A           P12931              CODI                 
+  3db6   A           A           Q4KMI8              CODI                
+  1pxl   A           A           P24941              CODI                 
+  1h00   A           A           P24941              CODI                 
+  5ar7   A           A           O43353              CIDO               
+  2vts   A           A           P24941              CODI               
+  2uzo   A           A           P24941              CODI                  
+  1oit   A           A           P24941              CODI                  
+  2r3o   A           A           P24941              CODI                 
+  3sls   A           A           Q02750              CODI                 
+  3rcd   A           A           P04626              CODI                
+  4mne   A           A           Q02750              CODI              
+  3r28   A           A           P24941              CODI                
+  3u6i   A           A           P08581              CODI                
+  4g31   A           A           Q9NZJ5              CODI               
+  4otr   A           A           Q06187              CODI                
+  4aua   A           A           Q00534              CODI                
+  4lud   A           A           P08631              CODI                 
+  3ti1   A           A           P24941              CODI                 
+  3qql   A           A           P24941              CODI               
+  3uli   A           A           P24941              CODI                
+  3tuc   A           A           P43405              CODI                
+  3qzf   A           A           P24941              CODI                
+  4yhf   A           A           Q06187              CODI                 
+  3nax   A           A           O15530              CODO                
+  3ce3   A           A           P08581              CODO               
+  3efj   A           A           P08581              CODO                 
+  2c6e   A           A           O14965              CODO             
+  2xk8   A           A           P51955              CODO               
+  1g3n   A           A           Q00534              CODO                
+  4u3y   A           A           O95819              CODI                 
+  3lq8   A           A           P08581              CODO                  
+  5hor   A           A           P08581              CODI                 
+  5kup   A           A           Q06187              CODI                
+  4rj3   A           A           P24941              CODI                
+  4ybk   A           A           P00523              CODI                 
+  5fd2   A           A           P15056              CODI                
+  4x7j   A           A           Q9NZJ5              CODO               
+  1i44   A           A           P06213              WCD                 
+  2w5b   A           A           P51955              WCD                
+  4zji   A           A           Q13153              CODO                
+  2rf9   A           A           P00533              WCD                
+  5hg8   A           A           P00533              CODO                
+  5hg7   A           A           P00533              CODO               
+  5kmo   A           A           P04629              CODO              
+  2gtm   A           A           P47811              WCD                 
+  4tpt   A           A           P53671              CODO                
+  5hg9   A           A           P00533              CODO                
+  4itj   A           A           Q13546              CODO                
+  2jav   A           A           P51955              WCD               
+  5hx6   A           A           Q13546              CODO                
+  4jai   A           A           O14965              CODO                
+  4i1z   A           A           P00533              CODO                 
+  5hg5   A           A           P00533              CODO                 
+  3ckw   A           A           Q9Y6E0              WCD                
+  4ith   A           A           Q13546              CODO                
+  4mxc   A           A           P08581              CODO                
+  5de2   A           A           Q8TDX7              CODO                 
+  3vw8   A           A           P08581              CODO                 
+  4iti   A           A           Q13546              CODO                
+  4zjj   A           A           Q13153              CODO               
+  1m52   A           A           P00520              WCD                
+  4x7k   A           A           Q9NZJ5              CODO              
+  3efw   A           A           O14965              WCD              
+  4x7n   A           A           Q9NZJ5              CODO               
+  1y6b   A           A           P35968              WCD                
+  3qc4   A           A           O15530              CODO              
+  4x7l   A           A           Q9NZJ5              CODO                
+  4oli   A           A           P29597              WCD                
+  3w8q   A           A           Q02750              WCD                
+  5kmk   A           A           P04629              WCD               
+  4umu   A           A           Q14680              WCD                
+  4nus   A           A           P51812              WCD                
+  3fzr   A           A           Q14289              WCD                 
+  5kml   A           A           P04629              WCD                
+  5kmm   A           A           P04629              WCD              
+  4at5   A           A           Q16620              WCD              
+  3piy   A           A           Q06187              WCD                 
+  5d9l   A           A           P51812              WCD              
+  3w10   A           A           O14965              WCD                
+  5d9k   A           A           P51812              WCD               
+  3et7   A           A           Q14289              WCD               
+  5kmj   A           A           P04629              WCD               
+  3fme   A           A           P52564              WCD                
+  4fg8   A           A           Q14012              WCD               
+  5kmi   A           A           P04629              WCD                
+  5to8   A           A           Q14289              WCD                 
+  5l6p   A           A           P54753              WCD                
+  5l6o   A           A           P54753              WCD               
+  5kmn   A           A           P04629              WCD               
+  5kaw   A           A           A0A0H3JRN6          CIDI         
+  3u6j   A           A           P35968              CIDO             
+  3o23   A           A           P08069              CIDO                  
+  3npc   A           A           P45984              CIDO                    
+  3tud   A           A           P43405              CIDO                   
+  3l8v   A           A           P08581              CIDO                  
+  3hv5   A           A           Q16539              CIDO                   
+  3gcv   A           A           Q16539              CIDO                   
+  3fzt   A           A           Q14289              CIDO                   
+  3tub   A           A           P43405              CIDO                
+  3ii5   A           A           P15056              CIDO                  
+  3qrk   A           A           P00519              CIDO                 
+  3kq7   A           A           Q16539              CIDO                  
+  1m2q   A           A           P28523              CIDI            
+  2dq7   A           X           P06241              CIDI              
+  1m2p   A           A           P28523              CIDI              
+  2bdf   A           A           P12931              CIDI                
+  4bkz   A           A           Q14680              CIDI               
+  4qp1   A           A           P28482              CIDI              
+  4cfm   A           A           P24941              CIDI                
+  5fbn   A           C           Q06187              CODI                 
