;0
0;1
1;1
2;1
3;3
4;4
5;2
6;1
7;3
8;1
9;1
10;2
11;4
12;1
13;1
14;2
15;1
16;1
17;2
18;1
19;1
20;1
21;2
22;1
23;2
24;1
25;1
26;1
27;1
28;1
29;2
30;2
31;2
32;1
33;2
34;1
35;1
36;1
37;1
38;1
39;1
40;2
41;1
42;2
43;2
44;1
45;2
46;1
47;1
48;4
49;2
50;1
51;1
52;4
53;4
54;1
55;1
56;1
57;1
58;1
59;2
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;3
69;1
70;1
71;1
72;1
73;1
74;1
75;2
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;2
84;1
85;1
86;1
87;1
88;2
89;1
90;1
91;2
92;1
93;1
94;1
95;1
96;2
97;1
98;1
99;1
100;1
101;2
102;1
103;2
104;3
105;1
106;1
107;1
108;1
109;1
110;2
111;2
112;1
113;1
114;1
115;2
116;1
117;1
118;1
119;1
120;2
121;2
122;1
123;1
124;1
125;3
126;1
127;3
128;1
129;1
130;2
131;1
132;2
133;2
134;1
135;1
136;1
137;2
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;2
146;3
147;1
148;1
149;2
150;2
151;3
152;1
153;2
154;1
155;3
156;1
157;1
158;1
159;1
160;1
161;2
162;2
163;3
164;1
165;3
166;1
167;1
168;1
169;2
170;2
171;1
172;1
173;2
174;1
175;3
176;3
177;1
178;1
179;1
180;1
181;3
182;1
183;2
184;2
185;3
186;1
187;1
188;1
189;2
190;1
191;2
192;1
193;1
194;2
195;1
196;3
197;1
198;3
199;1
200;1
201;1
202;1
203;1
204;2
205;1
206;1
207;1
208;3
209;1
210;4
211;1
212;1
213;2
214;1
215;1
216;1
217;2
218;1
219;1
220;2
221;1
222;1
223;1
224;1
225;2
226;3
227;1
228;1
229;1
230;4
231;1
232;1
233;4
234;1
235;1
236;1
237;2
238;1
239;1
240;1
241;2
242;1
243;4
244;2
245;3
246;1
247;3
248;1
249;4
250;1
251;2
252;1
253;1
254;1
255;2
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;2
265;1
266;1
267;1
268;2
269;1
270;1
271;1
272;1
273;1
274;2
275;2
276;1
277;1
278;1
279;1
280;2
281;2
282;1
283;1
284;1
285;3
286;1
287;4
288;1
289;1
290;1
291;2
292;1
293;1
294;2
295;1
296;1
297;1
298;1
299;1
300;1
301;2
302;1
303;1
304;2
305;1
306;1
307;2
308;1
309;1
310;2
311;2
312;1
313;1
314;1
315;1
316;1
317;2
318;2
319;1
320;4
321;2
322;1
323;1
324;2
325;1
326;2
327;2
328;1
329;2
330;2
331;1
332;1
333;1
334;1
335;2
336;1
337;1
338;1
339;1
340;1
341;1
342;1
343;2
344;2
345;1
346;1
347;1
348;1
349;1
350;1
351;4
352;1
353;3
354;1
355;1
356;2
357;1
358;1
359;1
360;1
361;2
362;2
363;1
364;2
365;1
366;1
367;1
368;1
369;2
370;1
371;1
372;2
373;1
374;1
375;4
376;1
377;1
378;2
379;2
380;1
381;1
382;1
383;1
384;1
385;2
386;1
387;1
388;1
389;1
390;2
391;2
392;1
393;1
394;1
395;4
396;2
397;3
398;1
399;1
400;3
401;1
402;2
403;1
404;1
405;3
406;3
407;2
408;1
409;1
410;1
411;1
412;2
413;1
414;1
415;1
416;5
417;1
418;1
419;2
420;1
421;1
422;1
423;1
424;1
425;1
426;3
427;1
428;1
429;1
430;1
431;1
432;1
433;1
434;1
435;4
436;1
437;1
438;1
439;1
440;1
441;1
442;1
443;1
444;1
445;2
446;1
447;1
448;1
449;1
450;1
451;1
452;1
453;1
454;2
455;2
456;1
457;2
458;1
459;2
460;2
461;2
462;1
463;1
464;1
465;1
466;1
467;1
468;2
469;1
470;1
471;1
472;2
473;1
474;1
475;1
476;2
477;2
478;1
479;1
480;1
481;1
482;1
483;1
484;1
485;1
486;1
487;2
488;1
489;1
490;1
491;1
492;2
493;1
494;1
495;2
496;1
497;1
498;1
499;1
500;1
501;1
502;1
503;1
504;1
505;2
506;1
507;1
508;1
509;1
510;1
511;2
512;1
513;1
514;1
515;1
516;2
517;1
518;1
519;1
520;2
