pdb_id,Group,training,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
1ATP_E,cidi,1.0,1.0,1.0,1.0,1.0,30.99932806,30.60815986,6.806977272,8.163104057
1JKK_A,cidi,1.0,0.998708424,0.9995520090000001,0.998719774,0.981969547,37.65581609,19.15677262,7.559331417,8.65489006
1M2P_A,cidi,1.0,0.9786178,0.9941104909999999,0.994340392,0.9886127170000001,31.38391988,19.806960500000002,7.599447727,8.564091682
1OL1_A,cidi,1.0,0.971044523,0.987734043,0.993500123,0.950742414,27.94809109,23.64523185,7.032135487000001,7.092386246
1OUY_A,cidi,1.0,0.9083286340000001,0.93286729,0.993808081,0.995787805,28.38100488,36.20607201,7.6102194789999995,8.793808937
1P38_A,cidi,1.0,0.931382603,0.856539045,0.92536089,0.99708605,32.90097449,33.31861505,8.546379089,9.72371006
1PKG_A,cidi,1.0,0.9967565759999999,0.996333795,0.9967383259999999,0.98212418,34.43802448,26.485527299999998,6.165413857000001,7.419613837999999
1YI6_A,cidi,1.0,0.974880478,0.997557012,0.999054422,0.994691137,28.93214899,36.7491424,6.714672089,6.564118862000001
2BDF_A,cidi,1.0,0.998442442,0.9961564470000001,0.999717028,0.941439076,42.65298333,18.4754707,7.36905098,7.046482086
2BDJ_A,cidi,1.0,0.96792492,0.999360369,0.999416524,0.9499862609999999,44.12406175,16.20425534,7.533911227999999,7.557844162
2C5V_A,cidi,1.0,0.9794478090000001,0.9882040390000001,0.9973631959999999,0.928749272,41.23289567,10.75831889,7.709638119,7.134141922
2DQ7_X,cidi,1.0,0.998719439,0.997391439,0.996318907,0.915030337,46.842063,15.0993163,6.864439487,8.227056503
2F4J_A,cidi,1.0,0.998413453,0.991071375,0.9984492890000001,0.951358698,39.11402566,22.73596076,6.766619205,8.303371429
2FB8_A,cidi,1.0,0.9475709529999999,0.997935295,0.9873586609999999,0.961858129,32.96550635,15.91519029,7.738158226,8.581277847
2NRU_A,cidi,1.0,0.9534264509999999,0.999986878,0.999957812,0.93924058,18.08996372,33.55855442,8.286324501000001,7.255918502999999
2UW9_A,cidi,1.0,0.8844462040000001,0.9925879259999999,0.995739844,0.9907144520000001,28.70067832,23.46416682,7.3381567,7.223581791
2X2L_A,cidi,1.0,0.959384751,0.9964451809999999,0.999326979,0.923752213,33.78223274,19.79256456,6.020348072000001,7.190125465
2YN8_A,cidi,1.0,0.94265584,0.9551323829999999,0.9806886920000001,0.9622974009999999,41.48152941,21.54138778,6.642653465,8.100955009
2ZOQ_A,cidi,1.0,0.93424373,0.993457357,0.988458376,0.9804686429999999,32.39089488,19.86332105,7.575855255,7.279101849
3ANR_A,cidi,1.0,0.9876261059999999,0.9883713129999999,0.989943343,0.952328396,34.94357558,14.38893478,7.379783154,7.9239249229999995
3CGF_A,cidi,1.0,0.8543136809999999,0.5767998910000001,0.9317282640000001,0.9762968059999999,26.98637698,37.57436765,7.908993721,6.7714600560000004
3CJG_A,cidi,1.0,0.926996588,0.9962046720000001,0.992871288,0.955634195,46.33132326,35.24719268,6.413370132000001,9.246592522
3KCF_A,cidi,1.0,0.994799992,0.971414232,0.995827116,0.9092629259999999,40.34600984,12.62228327,7.80291748,7.095072269
3LCK_A,cidi,1.0,0.9880161670000001,0.9969546509999999,0.994584701,0.9353990879999999,49.49732398,13.81996077,8.464950562,8.255753517
3RWP_A,cidi,1.0,0.9715188159999999,0.992273871,0.999905112,0.993743075,30.55205814,25.79826169,7.027745247,7.52035284
3UP2_A,cidi,1.0,0.938073336,0.9986544709999999,0.98346289,0.9630848870000001,42.83041547,21.75652348,8.750305176,8.260416985
3VJO_A,cidi,1.0,0.9922785709999999,0.9955606,0.9942511690000001,0.91999109,53.65706826,19.09159884,9.173810005,8.069332122999999
