"Kin_State","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272"
"1","-93.8108","-119.536","128.817","-128.413","148.495","-76.4816","132.745","-139.587","160.642","-128.137","129.218","-86.5509","-98.9292","151.262","-145.357","172.867","-112.852","129.059","-115.392","120.372","-91.0614","129.551","-173.949","-117.913","-48.4004","-51.4166","-67.5834","-62.9362","-38.7154","-49.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-97.5434","-112.746","115.253","-132.599","164.522","-80.2931","128.229","-135.885","144.235","-106.098","122.614","-73.7852","-75.1287","149.175","-131.704","-163.604","-145.574","123.463","-109.615","111.96","-79.7025","132.405","-155.007","-138.041","-28.9494","-38.7806","-67.2148","-54.2439","-30.7376","-62.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-102.495","-103.925","145.395","-137.712","141.924","-71.4587","129.414","-136.738","145.063","-113.745","116.432","-55.821","-82.5826","167.297","-163.527","159.441","-100.373","139.363","-121.022","122.177","-90.9472","110.134","-148.267","-110.565","-61.6876","-57.8103","-70.1987","-43.6703","-70.8747","-59.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-102.834","-135.754","124.059","-117.351","144.624","-84.0248","133.966","-146.364","164.5","-132.848","121.532","-57.1593","-90.5082","131.395","-131.167","173.97","-119.875","120.751","-106.209","126.721","-116.074","103.631","156.176","-84.5411","-47.0527","-46.9792","-71.8512","-63.1273","-45.3252","-43.2629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-160.362","-160.09","90.664","-79.9922","139.932","-94.2299","144.421","-156.738","174.421","-120.082","153.37","-75.9368","-58.8174","136.052","-148.889","162.623","-115.762","127.541","-109.48","123.391","-104.353","121.062","-173.452","-97.2709","-36.0847","-45.6765","-60.2752","-63.7679","-29.2869","-48.2832","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-93.9769","-113.114","126.197","-114.962","158.13","-89.1962","146.185","-148.034","168.982","-130.893","136.255","-78.6782","-88.8918","136.566","-145.634","170.068","-118.898","123.924","-107.902","122.743","-103.576","124.548","175.482","-101.869","-37.351","-47.6622","-61.1329","-57.5139","-30.131","-45.4801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-92.2966","-121.086","134.738","-124.796","154.968","-97.441","129.916","-139.37","174.674","-135.105","138.68","-70.9228","-101.928","132.532","-137.216","163.078","-97.4374","114.943","-114.938","95.18","-74.8825","129.955","-169.791","-111.439","-44.45","-56.1068","-59.3274","-58.9106","-33.8379","-40.9502","-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-104.427","-121.424","118.97","-114.339","148.59","-76.9696","129.886","-126.582","151.63","-117.69","135.232","-96.2492","-101.721","149.647","-151.18","161.066","-95.4561","131.862","-121.721","117.168","-83.2319","116.996","-165.878","-113.337","-49.1316","-53.1691","-62.4334","-49.7714","-66.8096","-40.8705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-113.541","-124.767","83.7421","-74.1999","163.537","-102.165","164.232","-175.57","169.472","-121.633","158.391","-68.6052","33.3136","-154.618","133.434","137.629","-124.138","30.6749","-30.918","121.04","-89.4449","-158.806","-179.54","-179.295","-41.3594","-26.9694","-80.2187","-60.7756","-71.9576","-30.6642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-110.708","-108.296","128.087","-120.25","145.9","-86.2922","117.844","-121.453","176.105","-136.302","138.335","-82.4488","-90.248","136.602","-140.534","166.98","-114.052","122.38","-100.558","128.253","-105.352","107.086","-179.118","-95.3446","-39.0361","-45.5834","-63.9591","-55.7238","-52.0957","-36.2529","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
