PDB_Chain,Prediction,Curated_Annotation
otatedConformation
1A06_A,Inactive,Inactive
1A9U_A,Inactive,None
1AD5_A,Inactive,Inactive
1AD5_B,Inactive,Inactive
1AGW_A,Inactive,None
1AGW_B,Inactive,Inactive
1APM_E,Active,Active
1AQ1_A,Inactive,Inactive
1ATP_E,Active,Active
1B38_A,Inactive,Inactive
1B39_A,Inactive,Inactive
1B6C_B,Active,None
1B6C_D,Active,None
1B6C_F,Active,None
1B6C_H,Active,None
1BI7_A,Inactive,Inactive
1BI8_A,Inactive,Inactive
1BI8_C,Inactive,Inactive
1BKX_A,Active,Active
1BL6_A,Inactive,None
1BL7_A,Inactive,None
1BLX_A,Inactive,Inactive
1BMK_A,Inactive,None
1BUH_A,Inactive,Inactive
1BX6_A,Active,Active
1BYG_A,Inactive,Inactive
1CDK_A,Active,Active
1CDK_B,Active,Active
1CKI_A,Active,Active
1CKI_B,Active,Active
1CKJ_A,Active,Active
1CKJ_B,Active,Active
1CKP_A,Inactive,Inactive
1CM8_A,Active,None
1CM8_B,Active,None
1CMK_E,Active,Active
1CSN_A,Active,None
1CTP_E,Active,Active
1DAW_A,Active,Active
1DAY_A,Active,Active
1DI8_A,Inactive,Inactive
1DI9_A,Inactive,None
1DM2_A,Inactive,Inactive
1DS5_A,Active,Active
1DS5_B,Active,Active
1DS5_C,Active,Active
1DS5_D,Active,Active
1E1V_A,Inactive,Inactive
1E1X_A,Inactive,Inactive
1E9H_A,Active,Active
1E9H_C,Active,Active
1EH4_A,Active,None
1EH4_B,Active,None
1ERK_A,Active,Active
1F0Q_A,Active,Active
1F3M_C,Inactive,Inactive
1F3M_D,Inactive,Inactive
1F5Q_A,Active,Active
1F5Q_C,Active,Active
1FGI_A,Inactive,None
1FGI_B,Inactive,Inactive
1FGK_A,Inactive,None
1FGK_B,Inactive,Inactive
1FIN_A,Active,Active
1FIN_C,Active,Active
1FMK_A,Inactive,Inactive
1FMO_E,Active,Active
1FOT_A,Active,None
1FPU_A,Inactive,Inactive
1FPU_B,Inactive,Inactive
1FQ1_B,Active,Active
1FVR_A,Inactive,Inactive
1FVR_B,Inactive,Inactive
1FVT_A,Inactive,Inactive
1FVV_A,Active,Active
1FVV_C,Active,Active
1G3N_A,Inactive,Inactive
1G3N_E,Inactive,Inactive
1G5S_A,Inactive,Inactive
1GAG_A,Active,Active
1GIH_A,Inactive,Inactive
1GII_A,Inactive,Inactive
1GIJ_A,Inactive,Inactive
1GJO_A,Active,Active
1GNG_A,Active,Active
1GNG_B,Active,Active
1GOL_A,Active,None
1GY3_A,Active,Active
1GY3_C,Active,Active
1GZ8_A,Inactive,Inactive
1GZK_A,Inactive,Inactive
1GZN_A,Inactive,Inactive
1GZO_A,Inactive,Inactive
1H00_A,Inactive,Inactive
1H01_A,Inactive,Inactive
1H07_A,Inactive,Inactive
1H08_A,Inactive,Inactive
1H0V_A,Inactive,Inactive
1H0W_A,Inactive,Inactive
1H1P_A,Active,Active
1H1P_C,Active,Active
1H1Q_A,Active,Active
1H1Q_C,Active,Active
1H1R_A,Active,Active
1H1R_C,Active,Active
1H1S_A,Active,Active
1H1S_C,Active,Active
1H1W_A,Active,Active
1H24_A,Active,Active
1H24_C,Active,Active
1H25_A,Active,Active
1H25_C,Active,Active
1H26_A,Active,Active
1H26_C,Active,Active
1H27_A,Active,Active
1H27_C,Active,Active
1H28_A,Active,Active
1H28_C,Active,Active
1H4L_A,Active,Active
1H4L_B,Active,Active
1H8F_A,Active,Active
1H8F_B,Active,Active
1HCK_A,Inactive,Inactive
1HCL_A,Inactive,Inactive
1HOW_A,Active,None
1I09_A,Active,Active
1I09_B,Active,Active
1I44_A,Inactive,Inactive
1IAN_A,Inactive,None
1IAS_A,Active,None
1IAS_B,Active,None
1IAS_C,Active,None
1IAS_D,Active,None
1IAS_E,Active,None
